,text,Song,Album,Text_lenght,Year
18,"
Eminem
Miscellaneous
Eminem Part 1
Met a retarted kid named Greg, with a wooden leg
Snatched it off and beat him over the head with a peg
Go to bed with a keg, wake up with a forty
Mix it with Alka Seltzer and Formula 44-D
Forget an acid tab I'll strap the whole sheet to my forehead
Wait until it absorbed and fell to the floor dead
No more said case closed end of discussion
We blowing up like spontaneous human combustion
Leaving you in the aftermath of holocaust and dramas
Cross the bombest
We blowing up your house
Killing your parents and coming back to get your foster mommas
I'm as good at keeping a promise as Nastradamus
Cause I ain't making no more threats
I'm doing drive-bys in tinted Corvettes
On Vietnam war vets
I am more or less sick in the head
Maybe more 
Because I smoked crack today, yesterday,
and the day before Sabateur
Walk the block with a labrador
Strapped with more straps than El Salvador
Foul style galore
Verbal cow manure
Coming together like an eyebrow on Al B. Sure</p>
]",eminem part 1,Miscellaneous,1007,
19,"
Ayo, before I start this song man
I just want to thank everybody for being so patient
And baring with me over these last couple of years
While I figure this shit out

Is anybody out there?
It feels like I'm talkin' 2 myself
No one seems to know my struggle
And everything I come from

Can anybody hear me?
It guess I keep talkin' 2 myself
It feels like I'm going insane
Am I the one whose crazy?

Yeah
Woah, woah, woah
Woah, woah, woah

So why in the world do I feel so alone?
Nobody but me, I'm on my own
Is there anyone out there who feels the way I feel?
If there is then let me in so I know that I'm not the only one

I went away I guess to open up some lanes
But there was no one who even knew
What I was going through growing pains
Hatred was flowing through my veins
On the verge of going insane
I almost made a song dissin' Lil Wayne

It's like I was jealous of him cause the attention he was gettin'
I felt horrible about myself, he was spittin' and I wasn't
Anyone who was buzzin' back then coulda got it
Almost went at Kanye too

God it feels like I'm goin' psychotic
Thank god that I didn't do it
I would of had my ass handed to me
And I knew it but Proof wasn't here to see me through it
I'm in the booth poppin' another pill, tryna talk myself into it

Are you stupid? You gon' start dissin' people for no reason?
Especially when you can't even write a decent punchline even
You're lying to yourself, you're slowly dying, you're denying
Your health is declining with your self esteem, you're crying out for help

Is anybody out there?
It feels like I'm talkin' 2 myself
No one seems to know my struggle
And everything I come from

Can anybody hear me?
It guess I keep talkin' 2 myself
It feels like I'm going insane
Am I the one whose crazy?

So why in the world do I feel so alone?
Nobody but me, I'm on my own
Is there anyone out there who feels the way I feel?
If there is then let me in so I know that I'm not the only one

Marshall, you're no longer the man, that's a bitter pill to swallow
All I know is I'm wallowin' self loathing and hollow
Bottoms up of pill bottle maybe I'll hit my bottom tomorrow

But I must be talkin' to the wall though
I don't see nobody else
(I guess I keep talkin' to myself)
But all these other rappers suck is all that I know
I've turned into a hater I've put up a false bravado
But Marshall is not a egomaniac, that's not his motto

He's not a desperado, he's desperate, it's startin' to bottle
Inside 'em, one foot on the brake one on the throttle
Fallin' asleep with writers block in the parking lot of Mc Donalds
But instead of feeling sorry for yourself do something about it

Admit you got a problem, your brain is clouded you pouted long enough
It isn't them it's you you fuckin', baby
Quit worrying about what they do and do fuckin' Shady
I'm fucking going crazy

Is anybody out there?
It feels like I'm talkin' 2 myself
No one seems to know my struggle
And everything I come from

Can anybody hear me?
It guess I keep talkin' 2 myself
It feels like I'm going insane
Am I the one whose crazy?

So why in the world do I feel so alone?
Nobody but me, I'm on my own
Is there anyone out there who feels the way I feel?
If there is then let me in so I know that I'm not the only one

So I pick myself off the ground and fuckin' slam before I drown
Hit my bottom so hard I bounce twice suffice this time around
It's different them last two albums didn't count
Encore I was on drugs, Relapse I was flushing 'em out
I've come up to make it up to you no more fucking around
I've got something to prove to fans I feel like I let em down

So please accept my apology, I finally feel like I'm back to normal
I feel like me again, let me formally reintroduce myself to you
For those of you who don't know
The new mes back to the old me and homie I don't show no
Signs of slowin' up, pullin' up, blowin' up, all over no mo
My life is no longer a movie but the shows aint over homos

I'm back with a vengeance homie Weezy keep ya head up
TI keep ya head up, Kanye keep ya head up
Don't let up, just keep slayin' 'em
Rest in Peace to DJ AM 'cause I know what it's like
I struggle with this shit every single day

Is anybody out there?
It feels like I'm talkin' 2 myself
No one seems to know my struggle
And everything I come from

Can anybody hear me?
It guess I keep talkin' 2 myself
It feels like I'm going insane
Am I the one whose crazy?

So why in the world do I feel so alone?
Nobody but me, I'm on my own
Is there anyone out there who feels the way I feel?
If there is then let me in so I know that I'm not the only one

So here it is, dang, this feels like I just woke up or somethin'
I guess I just forgot who the fuck I was, ma
Ay, yo, is anybody I thought about goin' at
'Twas never nothin' personal
'Cause of some shit I was goin' thru', it's everybody else
I'm back, ay, yo</p>
]",talkin 2 myself,Recovery,4835,2010.0
20,"
I take a couple uppers, I down a couple downers
But nothing compares to these blue and yellow purple pills
I've been to mushroom mountain once or twice but who's countin'
But nothing compares to these blue and yellow purple pills

Cool, calm, just like my mom
With a couple of valium inside her palm
It's Mr. Mischief with a trick up his sleeve
Crawl up on you like Christopher Reeves

I can't describe the vibe I get
When I drive by 6 people and 5 I hit, ah shit
I started a mosh pit, squashed a bitch
And stomped the foster kids

These shrooms make me hallucinate
Then I sweat till I start losing weight
Till I see dumb shit start happenin'
Dumber than Vanilla Ice tryin' to rap again

So bounce, bounce, c'mon bounce
I said c'mon bounce
Everybody in the house with a half an ounce
Not weed, I meant coke, dumbass, sit down

We don't bullshit, better ask around
D12 throws the bomb to gas your town
Bizarre, your mom is passing out
Get her ass on the couch before she passes out

Fuck that, someone help Denaun
He's upstairs naked with a weapon drawn
Hey Von, you see me steppin' on these leprechauns?
It gotta be acid 'cos the X is gone

Yeah, I took 'em all down with some parmesian
And I think my arm is gone, it's probably numb
Young, dumb and fulla cum
And I think he 'bout to swallow his tongue

You scary ass it was false alarm
You think I'm 'bout to die when I just got on?
So stop acting stupid, you so high
That you might wake up with a guy

On some new shit, I think I did too much
This substance equals cuffs
Red pills, blue pills and green big pills
(That's ill)
Mescaline

I take a couple uppers, I down a couple downers
But nothing compares to these blue and yellow purple pills
I've been to mushroom mountain once or twice but who's countin'
But nothing compares to these blue and yellow purple pills

Dirty Dozen, 80 of us, Shady brothers, ladies love us
That's why our baby mothers
Love us but they hate each other
They probably wanna take each other out and date each other
Some, something, something, something
Something, something, something, something, I dunno

Pop pills, pills I pop, pop two pills on stilts I walk
Snort two lines that were filled with chalk
Thought I was incredible and killed the hulk
I wanna, roll away like a rollerblade
Until my eyes roll back in my skull for days
And when I'm old and gray

Look for coke to smoke, no oki dok
I pack up my nose with coke
Am I supposed to choke?
Had an accident when the Trojan broke
Ahh, poor baby, born by whore lady
Now I gotta straight born infant
(You're crazy)

I pop four E's at one time
And I don't need water when I'm swallowing mine
You got any shrooms?
Does Bizarre smoke crack?
We can't get jobs 'cos our arms show tracks

Why the hell you niggas think I rap?
I do it just to get your company hijacked
If you like smack then I might too
(Swift, chill)
I just wanna get high like you
And I don't give a damn if they're white or blue

Speed, shrooms, down the valium
Even smoke weed outta vacuums
I just got some and I'm going back soon

I take a couple uppers, I down a couple downers
But nothing compares to these blue and yellow purple pills
I've been to mushroom mountain once or twice but who's countin'
But nothing compares to these blue and yellow purple pills

I'm at a rave, looking like a slave
High off chronic, gin and tonic demonic
Body smelt like vomit
Pussy poppin', acid droppin', dope headed guy
Heroine mescaline, pencil legs wanna try?

Blue pills, golden seals
Got Bizarre actin' ill, drugs kill
(Yeah right)
Bitch I'm for real, shut your mouth you dirty slut
You know you want it in your butt
I'll put it in your cunt, let Bizarre nut

I take a couple uppers, I down a couple downers
But nothing compares to these blue and yellow purple pills
I've been to mushroom mountain once or twice but who's countin'
But nothing compares to these blue and yellow purple pills

Dirty Dozen, 80 of us, Shady brothers, ladies love us
That's why our baby mothers
Love us but they hate each other
They probably wanna take each other out and date each other
Some, something, something, something
Something, something, something, something, I dunno, fuck it</p>
]",purple pills,Miscellaneous,4159,
21,"
Eminem
Miscellaneous
Addicted
I heard you're doin' OK, 
But I want you to know
I'm addic-
I'm addicted to you
I can't pretend I don't care 
When you don't think about me
Do you think
I deserve this?
I tried to make ya' happy
But you left anyway

I'm tryin' to forget that
I'm addicted to you
But I want it
And I need it
I'm addicted to you
Now it's over
Can't forget what you said
And I never
Wanna do this again
Heartbreaker
Heartbreaker

Heartbreaker
Since the day I met you
And after all we've been through
Still addic,
I'm addicted to you
I think you know that it's true
I'd run a thousand miles to get you
Do you think I deserve this?
I tried to make you happy
I did all that I could
Just to keep you 
But you left anyway

I'm tryin' to forget that
I'm addicted to you
But I want it
And I need it
I'm addicted to you
Now it's over
Can't forget what you said
And I never
Wanna do this again
Heartbreaker
Heartbreaker

How long will I be waiting?
Until the end of time
I don't know why I'm still waitin'
I can't make you mine
(giutar)
I'm tryin' to forget that
I'm addicted to you
But I want it
And I need it
I'm addicted to you

I'm tryin' to forget that
I'm addicted to you
But I want it
And I need it
I'm addicted to you

Now it's over
Can't forget what you said
And I never
Wanna do this again
Heartbreaker
Heartbreaker

I'm addicted to you
Heartbreaker
I'm addicted to you
Heartbreaker
I'm addicted to you
Heartbreaker
I'm addicted to you
Heartbreaker</p>
]",addicted,Miscellaneous,1466,
22,"
(*Prod. by Eminem)


{*Curtains up*}
{*Applausing*}
{*Footsteps*}
{*Mic Sqeek*}
{*Taps Mic*}

Eminem:]
K-ahm! Hhhh...</p>
]",curtains up skit,The Eminem Show,124,2002.0
23,"
EMINEM
Miscellaneous
Hail Mary 2003 (Ja Rule Diss)""(feat. 50 Cent, Busta Rhymes
Chorus]
Come get me
If you mothafuckas want Shady
If Pac was still here now,
He would never ride with Ja
Na, na, na, na ,na, na, na, na

Eminem]
Makaveli rest in peace
Irv Gotti, too much Bacardi in his body
Miles like a .12 gauge shotti

Chorus 2x]

Eminem]
You ain't a killa, you a pussy
That exstacy got you all emotional and moushy
Bitches wearin rages in photos, Ja's words bein quoted
In the SOURCE, stealin 'Pac's shit like he just wrote it
You loud mouth, pray to god, hope that no one's listenin
See 50 comin for me, I'ma guard my, my position
No one will pay attention
To me, please Gotti, here I go
Gimme this pill, exstacy got me feelin so
Invincible
Now all of a sudden I'm a fuckin mad man who screams
Like I'm 'Pac but I'm not, enemies, Hennesy
Actin like I'm great, but I'm fake, I'm CRAZY
Sweat drip, get me off this trip, someone stop this train
Some say my brain is all corrupted, fuck from this shit
I'm stuck, addicted from these drugs, I'ma quit
Sayin mothafucka's name's before someone fucks me up
Ain't no pussies over here, partner, see you hell, fucker

Eminem Sings]
Come get me
If you mothafuckas want Shady
If Pac was still here now,
He would never ride with Ja
Na, na, na, na ,na, na, na, na

Get off that E
Before you try to fuck with me
It's Aftermath here now
Shady Records got it locked
La, la, la, la , la, la, la, la

50 Cent]
Temesentruries is packed with promise makers
Never realized the precious time them bitch niggas is wastin
Insitutionalize, my bitches bring me product by the bundles
Hustle hard from the cell, G-Unit mothafucka, WE BALLIN
Catch me countin trees when I'm callin
Can you set my car, Ceo let me sip on Henessy, ""Can I sips some more?""
Hell, I done been in jail, I ain't scared
Momma checkin in my bedroom, I ain't there
I got a head with no screws in it
Mothafuckas think they can stop 50... they losin it
Lil' nigga named Ja, thinks he live like me
Talkin about he left the hospital, took 9 like me

50 Cent]
You lil fantasies nigga
I'll Reject your Deposit
When that lil sweet ass comin out of the closet
now he wonderin why DMX blow tha mouth
next time grown folks talkin bitch close your mouth
Peep me I take this war shit deeply
Seen too many real niggas ballin like these bitch niggas beat me
yous a mothafuckin punk and you see me with gloves
quit havin those fuckin kids with ya ulgy ass mom
and you can tell them niggas you roll with whatever you want
but you and i know whats goin on Nigga pay back I know your bitch ass from way back 
Witness be strap with max You know I don't play that 
All these old rappers tryin to advance its all over now -- take it like a man
HAHA--Irv lookin like Larry Holmes, flabby and sick
tryin to playa hate on my shit- made of fat dick
Lovin htis shit hats how you made me-feelin like I got you niggas crazy, i like
Against all odds up with my dogs mothafuckas now 
It'll be the realist shit I ever wrote 
Against all odds, up in the studio gettin blow to the truest shit i ever spoke???

Busta Rhymes:]
Hey yo I'm one of tha most humble, rep the streets to tha core
Hey Jeffrey, What the fuck you come involve with me for?
You spent a long time comin like a bless and a check
you see 106 and park fans don't even fuckin respeck you
Its kinda funny when ya be pol fake like like you thug
runnin around talkin shit that he ain't even capable of
now let me OFF this cock sucka watch me handle you nigga
If i recall Violator use to manage you nigga then took a closer look and 
realized you was an empostor theres never been a Violator on a Murda Inc rosta. Dumb ass
now who shoop?-- Ah made you look, you said Busta in the same oh hook, You Stupid
if yall shoot I take a look at ya man tha bitch shot himself infront of Def Jam
chedda bar bass nigga start adjustin ya plan
you let the streets down nigga-(a) Pologize to ya fans
watch ya pull a lil stunt like we ain't know where you are ya lil fanny 
desperate be tryin while we establish a buzz I know tha shit is drivin you crazy You wonderin how
The streets ain't never want you Beatrice what you gonna do now?
Now if you wanna beef with me, then i'm beefin with you
I think about tha game and what a slight AH--WHERE WOULD I BE WITHOUT YOU
You finished I ain't tryin to complete this just because I'm cool shouldn' 
take my kindness for weakness

Busta speakin in background]
Ooh shit ha ha That was fun Next time you got a problem with me, Address me 
before you make shit a public issue and i'm gone, return back to my regular 
self and have fun again
-One


Thanks to  <a class=""__cf_email__"" data-cfemail=""1b7873697268282c2a295b73746f767a727735787476"" href=""/cdn-cgi/l/email-protection"">email protected]</a>  for correcting these lyrics]</p>
]",hail mary 2003 ja rule dissfeat 50 cent busta rhymes,Miscellaneous,4783,
24,"
Mmhh
You high baby?
Yeah
Yeah?
Ha ha ha, talk to me
You want me to tell you somethin'?
Uh huh
I know what you wanna hear

'Cuz I know you want me baby
I think I want you too
I think I love you baby
I think I love you too

I'm here to save you girl
Come be in Shady's world
I wanna grow together
Let's let our love unfurl

You know you want me baby
You know I want you too
They call me Superman
I'm here to rescue you

I wanna save you girl
Come be in Shady's world
Oh boy you drive me crazy
Bitch you make me hurl

They call me Superman
Leap tall hoes in a single bound
I'm single now got no ring on this finger now
I'll never let another chick bring me down

In a relationship, save it bitch
Babysit, you make me sick
Superman ain't savin' shit
Girl you can jump on Shady's dick

Straight from the hip, cut to the chase
I'll tell a mo'fuckin slut to her face
Play no games, say no names
Ever since I broke up with what's her face

I'm a different man, kiss my ass
Kiss my lips, bitch why ask?
Kiss my dick, hit my cash
I'd rather have you whip my ass

Don't put out? I'll put you out
Won't get out? I'll push you out
Puss blew out, poppin' shit
Wouldn't piss on fire to put you out

Am I too nice? Buy you ice
Bitch if you died, wouldn't buy you life
What you tryin' to be, my new wife?
What you Mariah? Fly through twice

But I do know one thing though
Bitches they come, they go
Saturday through Sunday Monday
Monday through Sunday yo

Maybe I'll love you one day
Maybe we'll someday grow
Till then just sit your drunk ass
On that fuckin' runway hoe

'Cuz I can't be your Superman
Can't be your Superman
Can't be your Superman
Can't be your Superman

I can't be your Superman
Can't be your Superman
Can't be your Superman
Your Superman, your Superman

Don't get me wrong, I love these hoes
It's no secret everybody knows
Yeah we fucked, bitch so what?
That's about as far as your buddy goes

We'll be friends I'll call you again
I'll chase you around every bar you attend
You'll never know what kind of car I'll be in
We'll see how much you'll be partying then

You don't want that, neither do I
I don't wanna flip when I see you with guys
Too much pride between you and I
Not a jealous man, but females lie

But I guess that's just what sluts do
How could it ever be just us two?
I never loved you enough to trust you
We just met and I just fucked you

But I do know one thing though
Bitches they come they go
Saturday through Sunday Monday
Monday through Sunday yo

Maybe I'll love you one day
Maybe we'll someday grow
'Till then just sit your drunk ass
On that fuckin' runway hoe

I know you want me baby
I think I want you too
I think I love you baby
I think I love you too

I'm here to save you girl
Come be in Shady's world
I wanna grow together
Let's let our love unfurl

You know you want me baby
You know I want you too
They call me Superman
I'm here to rescue you

I wanna save you girl
Come be in Shady's world
Oh boy you drive me crazy
Bitch you make me hurl

First thing you said
I'm not phazed
I hang around big stars all day
I don't see what the big deal is anyway
You're just plain ol' Marshall to me

Ooh yeah girl run that game
Hailie Jade I love that name
Love that tattoo, what's that say?
'Rot in pieces' aww that's great

First off you don't know Marshall
At all so don't grow partial
That's ammo for my arsenal
I'll slap you off that bar stool

There goes another lawsuit
Leave handprints all across you
Good lordy-wody
You must be gone off that water bottle

You want what you can't have
Ooo girl that's too damn bad
Don't touch what you can't grab
End up with two back hands

Put Anthrax on a Tampax
And slap you till you can't stand
Girl you just blew your chance
Don't mean to ruin your plans

But I do know one thing though
Bitches they come they go
Saturday through Sunday Monday
Monday through Sunday yo

Maybe I'll love you one day
Maybe we'll someday grow
'Till then just sit your drunk ass
On that fuckin' runway hoe

I know you want me baby
I think I want you too
I think I love you baby
I think I love you too

I'm here to save you girl
Come be in Shady's world
I wanna grow together
Let's let our love unfurl

You know you want me baby
You know I want you too
They call me Superman
I'm here to rescue you

I wanna save you girl
Come be in Shady's world
Oh boy you drive me crazy
Bitch you make me hurl

'Cuz I can't be your Superman
Can't be your Superman
Can't be your Superman
Can't be your Superman

I can't be your Superman
Can't be your Superman
Can't be your Superman
Your Superman, your Superman

'Cuz I can't be your Superman
Can't be your Superman
Can't be your Superman
Can't be your Superman

I can't be your Superman
Can't be your Superman
Can't be your Superman
Your Superman, your Superman

Superman</p>
]",superman,The Eminem Show,4759,2002.0
25,"
These ideas are nightmares for white parents
Whose worst fear is a child with dyed hair and who likes earrings
Like whatever they say has no bearin'
Its so scary in a house that allows no swearin'
To see him walkin' around with his headphones blarin'
Alone in his own zone cold and he don't care
He's a problem child what bothers him all comes out
When he talks about his fuckin' dad walkin' out
'Cos he hates him so bad that he blocks him out
But if he ever saw him again he'd probably knock him out
His thoughts are whacked he's mad so he's talkin' back
Talkin' black brainwashed from rock and rap
He sags his pants two rags and a stockin' cap
His step father hit him so he socked him back
And broke his nose this house is a broken home
There's no control he just lets his emotions go
(C'mon)

Sing with me
(Sing)
Sing for the year
(Sing)
Sing for the laughter
Sing for the tear
(C'mon)
Sing with me just for today
Maybe tomorrow the good Lord will take you away

Entertainment is danger intertwine it with gangsters
In the land of the killers a sinner's mind is a sanctum
Only you're unholy only have one homey
Only this gun lonely 'cuz don't anyone know me
But everybody just feels like they can relate
I guess words are a motherfucker they can be great
Or they can be great or even worse they can teach hate
Its like kids hang on every single statement we make
Like they worship us plus all the stores ship us platinum
Now how the fuck did this metamorphosis happen?
From standin' on corners and porches just rappin'
To havin' a fortune no more kissin' ass
But then these critics crucify you journalists try to burn you
Fans turn on you attorney's all gonna turn it to
To get their hands on every dime you have
They want you to lose your mind every time you mad
So they can try to make you out to look like a loose canon
You need to spew don't hesitate to produce air guns
Thats why these prosecutors wanna convict me
Swiftly just to get me off these streets quickly
But all their kids been listen to me religiously
So I'm signin' cds while police fingerprint me
They're for the judges daughter but his grudge is against me
If I'm such a fuckin' menace this shit doesn't make sense, Pete
It's all political if my music is literal and I'm a criminal
How the fuck can I raise a little girl?
I couldn't I wouldn't be fit to
You're full of shit too Guerrera that was a fist that hit you

Sing with me
(Sing)
Sing for the year
(Sing)
Sing for the laughter
Sing for the tear
(C'mon)
Sing with me just for today
Maybe tomorrow the good Lord will take you away

They say music can alter moods and talk to you
But can it load a gun for you and cock it too?
Well if it can then the next time you assault a dude
Just tell the judge it was my fault and I'll get sued
See what these kids do is hear about us totin' pistols
And they want to get one 'cos they think the shit's cool
Not knowin' we're really just protectin' ourselves
We're entertainers of course this shit's affectin' our sales
You ignoramus but music is reflection of self
We just explain it and then we get our checks in the mail
It's fucked up ain't it how we can come from practically nothin'
To bein' able to have any fuckin' thing that we wanted
It's why we sing for these kids that don't have a thing
Except for a dream and a fuckin' rap magazine
Who post pinup pictures on their walls all day long
Idolize their favorite rappers and know all they songs
Or for anyone who's ever been through shit in they lives
So they sit and they cry at night wishin' they die
Till they throw on a rap record and they sit and they vibe
We're nothin' to you but we're the fuckin' shit in their eyes
That's why we seize the moment and try to freeze it and own it
Squeeze it and hold it 'cos we consider these minutes golden
And maybe they'll admit it when we're gone
Just let our spirits live on through out lyrics that you hear in our songs
And we can

Sing with me
(Sing)
Sing for the year
(Sing)
Sing for the laughter
Sing for the tear
(C'mon)
Sing with me just for today
Maybe tomorrow the good Lord will take you away

Sing with me
(Sing)
Sing for the year
(Sing)
Sing for the laughter
Sing for the tear
(C'mon)
Sing with me just for today
Maybe tomorrow the good Lord will take you away</p>
]",sing for the moment,The Eminem Show,4245,2002.0
26,"
There I go
Thinkin' of you again

You don't know how sick you make me
You make me fuckin' sick to my stomach
Every time I think you I puke
You must just not know
You may not think you do but you do
Every time I think of you I puke

I was gonna take the time to sit down
And write you a little poem
But off of the dome would probably be a little more
More suitable for this type of song, woh

I got a million reasons off the top of my head that I can think of
Sixteen bars just ain't enough to put some ink to
So fuck it, I'm a start right here, I'll just be briefer
'Bout to rattle off some other reasons

I knew I shouldn't go and get another tattoo
Of you on my arm, but whatever I gonna do?
I go and get another one, now I got two
Ooh!

Now I'm sittin here, with your name on my skin
I can't believe I went and did that stupid shit again
My next girlfriend, now her name's gotta be Kim
Shit!

If you only knew how much I hated you
For every motherfuckin' thing you ever put us through
Then I wouldn't be standin' here cryin' over you
Ooh!

You don't know how sick you make me
You make me fuckin' sick to my stomach
Every time I think of you I puke
You must just not know
You may not think you do but you do
Every time I think of you I puke

I was gonna take the time to sit down
And write you a little letter
But I thought a song would probably be a little better
Instead of a letter, that you probably just shred up, yeah

I stumbled on your picture yesterday and it made stop
And think of how much of a waste it'd be for me to put some ink
To a stupid piece of paper, I'd rather let you see
How much I fuckin' hate you in a freestyle

You're a fuckin' cokehead slut, I hope you fuckin' die
You get to hell and Satan sticks a needle in your eye
I hate your fuckin' guts, you fuckin' slut, I hope you die
Die

But please don't get me wrong, I'm not bitter or mad
It's not that I still love you, it's not 'cause I want you back
It's just that when I think of you it makes me wanna yack
Aack

But what else can I do, I haven't got a clue
Now I guess I just move on, I have no choice but to
But every time I think of you now all I wanna do
Is puke

You don't know how sick you make me
You make me fuckin' sick to my stomach
Every time I think of you I puke
You must just not know
You may not think you do but you do
Every time I think of you, I puke

Goddamn it
Fuckin' bitch</p>
]",puke,Encore,2382,2004.0
27,"
Eminem
Slim Shady EP
If I Had... (Radio Edit)
Life.. by Marshall Mathers
What is life?
Life is like a big obstacle
put in front of your optical to slow you down
And everytime you think you gotten past it
it's gonna come back around and tackle you to the damn ground
What are friends?
Friends are people that you think are your friends
But they really your enemies, with secret indentities
and disguises, to hide they true colors
So just when you think you close enough to be brothers
they wanna come back and cut your throat when you ain't lookin
What is money?
Money is what makes a man act funny
Money is the root of all evil
Money'll make them same friends come back around
swearing that they was always down
What is life?
I'm tired of life
I'm tired of backstabbing ass snakes with friendly grins
I'm tired of committing so many sins
Tired of always giving in when this bottle of Henny wins
Tired of never having any ends
Tired of having skinny friends hooked on crack and mini-thins
I'm tired of this DJ playing YOUR shit when he spins
Tired of not having a deal
Tired of having to deal with the bullshit without grabbing the steel
Tired of drowning in my sorrow
Tired of having to borrow a dollar for gas to start my Monte Carlo
I'm tired of motherfuckers spraying shit and dartin off
I'm tired of jobs startin off at five fifty an hour
then this boss wanders why I'm smartin off
I'm tired of being fired everytime I fart and cough
Tired of having to work as a gas station clerk
for this jerk breathing down my neck driving me bezerk
I'm tired of using plastic silverware
Tired of working in Building Square
Tired of not being a millionaire

But if I had a million dollars
I'd buy a damn brewery, and turn the planet into alcoholics
If I had a magic wand, I'd make the world suck my dick
without a condom on, while I'm on the john
If I had a million bucks
it wouldn't be enough, because I'd still be out
robbing armored trucks
If I had one wish
I would ask for a big enough ass for the whole world to kiss

I'm tired of being white trash, broke and always poor
Tired of taking pop bottles back to the party store
I'm tired of not having a phone
Tired of not having a home to have one in if I did have it on
Tired of not driving a BM
Tired of not working at GM, tired of wanting to be him
Tired of not sleeping without a Tylenol PM
Tired of not performing in a packed coliseum
Tired of not being on tour
Tired of fucking the same blonde whore after work
in the back of a Contour
I'm tired of faking knots with a stack of ones
Having a lack of funds and resorting back to guns
Tired of being stared at
I'm tired of wearing the same damn Nike Air hat
Tired of stepping in clubs wearing the same pair of Lugz
Tired of people saying they're tired of hearing me rap about drugs
Tired of other rappers who ain't bringin half the skill as me
saying they wasn't feeling me on ""Nobody's As Ill As Me""
I'm tired of radio stations telling fibs
Tired of J-L-B saying ""Where Hip-Hop Lives""

But if I had a million dollars
I'd buy a damn brewery, and turn the planet into alcoholics
If I had a magic wand, I'd make the world suck my dick
without a condom on, while I'm on the john
If I had a million bucks
it wouldn't be enough, because I'd still be out
robbing armored trucks
If I had one wish
I would ask for a big enough ass for the whole world to kiss

You know what I'm saying?
I'm tired of all of this bullshit
Telling me to be positive
How'm I 'sposed to be positive when I don't see shit positive?
Know what I'm sayin?
I rap about shit around me, shit I see
Know what I'm sayin? Right now I'm tired of everything
Tired of all this player hating that's going on in my own city
Can't get no airplay, you know what I'm sayin?
But ey, it's cool though, you know what I'm sayin?
Just fed up
That's my word</p>
]",if i had radio edit,Slim Shady EP,3806,
28,"
Okay, guess who's back, back again
Shady's back, tell a friend
Now everyone report to the dance floor
To the dance floor, to the dance floor
Now everyone report to the dance floor
Alright stop, pajama time

Come here little kiddies on my lap
Guess who's back with a brand new rap
And I don't mean rap as in a new case
Of child molestation accusates
Ah ah ah ah ah, no worries
Papa's got a brand new bag of toys
What else could I possibly do to make noise?
I've done touched on everything but little boys

That's not a stab at Michael
That's just a metaphor, I'm just psycho
I go a little bit crazy sometimes
I get a little bit out of control with my rhymes
Good God, dip, do a little slide
Bend down, touch your toes, and just glide
To the center of the dance floor
Like TP for my bung hole and it's cool if you let one go

Nobody's gonna know, who'd hear it?
Give a little poot poot, it's okay
Oops my CD just skipped
And everyone just heard you let one rip

Now I'm gonna make you dance, it's your chance
Yeah boy, shake that ass, whoops I mean girl, girl, girl, girl
Girl you know you're my world, alright now lose it
(Ah ah ah ah ah)
Just lose it
(Ah ah ah ah ah)
Go crazy
(Ah ah ah ah ah)
Oh baby
(Ah ah)
Oh baby
(Ah ah)

It's Friday and it's my day
Used to party all the way to Sunday
Maybe 'til Monday, I don't know what day
Everyday's just a holiday
Cruisin' on the freeway, feelin' kind of breezy
Let the top down and my hair blow
I don't know where I'm goin', all I know
Is when I get there someone's gonna touch my body

Excuse me miss, I don't mean to sound like a jerk
But I'm feelin' just a little stressed out from work
Would you punch me in the stomach and pull my hair?
Spit on me, maybe gouge my eyes out, yeah
Now what's ya name girl, what's ya sign?
Man you must be up out yo mind
Dre, ah, ah, beer goggles, blind
I'm just tryin' to unwind, now I'm

Now I'm gonna make you dance, it's your chance
Yeah boy, shake that ass, whoops I mean girl, girl girl girl
Girl you know you're my world, alright now lose it
(Ah ah ah ah ah)
Just lose it
(Ah ah ah ah ah)
Go crazy
(Ah ah ah ah ah)
Oh baby
(Ah ah)
Oh baby (ah ah)

It's Tuesday and I'm locked up
I'm in jail and I don't know what happened
They say I was runnin' butt naked
Down the street screamin' ""Ah ah ah ah""
Well I'm sorry, I don't remember
All I know is this much, I'm not guilty
They said. ""Save it, boy we got you on tape
Yellin' at an old lady touch my body""

Now this is the part where the rap breaks down
It's real intense, no one makes a sound
Everything looks like it's '8 Mile' now
The beat comes back and everybody lose themselves
Now snap back to reality, look it's B. Rabbit
Oh you signed me up to battle? I'm a grown man
Tubba tubba tubba tubba tubba tubba tubba
I don't have any lines to go right here so tubba

Tellytubby fellas, what, fellas, what
Grab your left nut, make your right one jealous what
Black girls, white girls, skinny girls, fat girls
Tall girls, small girls, I'm callin' all girls
Everyone report to the dance floor
It's your chance for a little romance or butt squeezin'
It's the season, just go ah ah ah ah, it's so appeasin'

Now I'm gonna make you dance, it's your chance
Yeah boy, shake that ass, whoops I mean girl, girl girl girl
Girl you know you're my world, alright now lose it
(Ah ah ah ah ah)
Just lose it
(Ah ah ah ah ah)
Go crazy
(Ah ah ah ah ah)
Oh baby
(Ah ah)
Oh baby, baby
(Ah ah)

Touch my body, touch my body
Oh boy just touch my body, I mean girl just touch my body</p>
]",just lose it,Encore,3501,2004.0
